1602014137.3360837,1
1602014142.3359478,2
1602014334.769405,3
1602014339.7882245,4
1602014585.04306,5
1602014590.060306,6
1602014627.8797083,7
1602014632.8996243,8
1602014867.892646,9
1602014872.9127917,10
1602014912.3508282,11
1602014917.370515,12
1602015166.2240696,13
1602015171.2431002,14
1602015287.4787848,15
1602015292.4988866,16
1602015531.833265,17
1602015536.8505957,18
1602015575.2709663,19
1602015580.2906356,20
1602015834.6232557,21
1602015839.6416566,22
1602015888.04111,23
1602015893.0596578,24
1602016133.6738975,25
1602016138.6932552,26
1602016177.871802,27
1602016182.8917296,28
1602016439.864031,29
1602016444.8842165,30
1602016489.024641,31
1602016494.0420163,32
1602016736.6554608,33
