1600185394.7246265,1,1600185394.7068565,Mission: 2 WP
1600186347.8349545,2,1600186347.8346987,Reached waypoint #2
1600186567.529856,3,1600186567.5294425,Mission: 4 WP
1600186776.4821448,4,1600186776.482014,Mission: 5 WP
1600187120.391693,5,1600187120.391424,Mission: 6 WP
1600187169.3522153,6,1600187169.3519857,Reached waypoint #6
1600187542.498489,7,1600187542.4983,Mission: 8 WP
1600187594.0977125,8,1600187594.0972142,Reached waypoint #8
1600187975.2855718,9,1600187975.2853436,Mission: 10 WP
1600188021.963389,10,1600188021.9631977,Mission: 11 WP
1600188358.174654,11,1600188358.1745124,Mission: 12 WP
1600188418.6126728,12,1600188418.612439,Reached waypoint #12
1600188796.0009592,13,1600188796.0005472,Reached waypoint #13
1600188841.2589006,14,1600188841.2585976,Reached waypoint #14
1600189185.0689378,15,1600189185.0686717,Reached waypoint #15
1600189318.3654256,16,1600189318.3649254,Mission: 17 WP
1600189593.217554,17,1600189593.2173402,Mission Complete
