gps_timestamp,latitude,longitude,compass_timestamp,heading,airspeed_timestamp,airspeed,sonar_timestamp,distance,gps_velocity_timestamp,gps_linear_x,gps_linear_y,local_velocity_timestamp,local_linear_x,local_linear_y,local_linear_z,local_angular_x,local_angular_y,local_angular_z,sonde_timestamp,YYMMDD,HHMMSS,Battery V,Temp °C,Depth m,Cond µS/cm,pH,SpCond mS/cm,SpCond µS/cm,Chlorophyll RFU,ODO % sat,ODO mg/L
1600185871.59482,44.4448326,-69.6008356,1600921035.31431,228.96,1600185871.83002,0.508000016212463,1600185871.5731,2.90000009536743,1600185872.06782,-0.372476210683492,-0.286638225774,1600185871.63382,0.513671964659449,-0.055979129802805,0.085068286578511,-0.01774276047945,-0.004929111339152,-0.011123835109174,1600185872,200915,120432,5.88296699523926,20.2472915649414,0.517856299877167,98.7761001586914,7.34665012359619,0.108637891709805,108.637893676758,0.405976086854935,94.8424301147461,8.57932758331299
1600185873.09382,44.4448286,-69.600843,1600921035.41452,229.53,1600185873.12847,0.574000000953674,1600185872.92814,3.20000004768372,1600185873.06782,-0.4714359273365,-0.320387525375715,1600185873.11382,0.491991758958725,-0.045782471269171,0.079617483216576,0.0001697629923,0.009158246219158,-0.017269641160965,1600185873,200915,120433,5.88296699523926,20.2465744018555,0.517928779125214,98.7649154663086,7.3513650894165,0.108626902103424,108.626899719238,0.405037134885788,94.8365249633789,8.57885932922363
1600185874.09382,44.444826,-69.600848,1600921035.51423,229.94,1600185874.1285,0.549000024795532,1600185874.24812,3.20000004768372,1600185874.06782,-0.449985984057549,-0.298517359883407,1600185874.11482,0.480168253098322,-0.04538093765183,0.064483755459924,0.017731823027134,-0.034415885806084,-0.006340722087771,1600185874,200915,120434,5.88296699523926,20.2455921173096,0.517907857894897,98.7591171264648,7.35591840744019,0.108623094856739,108.623092651367,0.401809841394424,94.8320388793945,8.57865238189697
1600185875.59482,44.4448225,-69.6008557,1600921035.71438,229.92,1600185875.82857,0.503000020980835,1600185875.58597,3.20000004768372,1600185876.06782,-0.403332917736075,-0.221184442198146,1600185875.63282,0.478725941962845,-0.05919338175806,0.063185880734204,-0.009840790182352,-0.010306149721146,-0.004636177327484,1600185876,200915,120436,5.8845419883728,20.2438297271728,0.51786196231842,98.7586898803711,7.36454105377197,0.108626641333103,108.626640319824,0.392985045909882,94.8362045288086,8.57948684692383
1600185877.09382,44.4448189,-69.6008635,1600921035.8142,230.16,1600185877.12958,0.548000037670136,1600185876.92805,3.20000004768372,1600185877.06782,-0.420251300204051,-0.339100051130642,1600185877.11382,0.488460606609997,-0.054740062466095,0.055160773497121,0.021570263430476,0.038859505206347,-0.001356788096018,1600185877,200915,120437,5.8845419883728,20.2430324554443,0.517903566360474,98.7462692260742,7.36883449554443,0.108614720404148,108.614723205566,0.390922546386719,94.8387069702148,8.57912349700928
1600185878.09382,44.444816,-69.6008689,1600921035.91452,230.84,1600185878.12871,0.442000031471252,1600185878.26127,3.20000004768372,1600185878.06782,-0.358745179469189,-0.254758505662949,1600185878.11382,0.509522476606739,-0.030439196731866,0.065503934060831,0.008609288372099,-0.029476415365934,-0.001622805604711,1600185878,200915,120438,5.8845419883728,20.2424430847168,0.517945826053619,98.7367858886719,7.37302589416504,0.108605712652206,108.605712890625,0.390545904636383,94.8441467285156,8.58046722412109
1600185880.09382,44.4448109,-69.6008796,1600921036.11434,233.51,1600185879.8286,0.459000021219254,1600185879.59884,3.20000004768372,1600185880.06782,-0.462179346340169,-0.21561598228465,1600185879.61382,0.51838670628058,-0.023668461544233,0.092525312009397,-0.007930454798043,-0.017950167879462,-0.009958431124687,1600185880,200915,120440,5.8845419883728,20.2411289215088,0.517861723899841,98.7128982543945,7.38123178482056,0.108582444489002,108.582443237305,0.388227820396423,94.8393325805664,8.57963943481445
1600185881.09382,44.4448087,-69.6008854,1600921036.2145,234.97,1600185881.1286,0.487000018358231,1600185880.93639,3.20000004768372,1600185881.06782,-0.420020376125353,-0.232342169309656,1600185881.13282,0.503336882014378,-0.044298588078116,0.077125762294525,0.010367782786489,0.020858848467469,-0.029573693871498,1600185881,200915,120441,5.8845419883728,20.2402000427246,0.517833411693573,98.7100219726563,7.38519620895386,0.108581200242043,108.581199645996,0.390181481838226,94.8481750488281,8.58083152770996
1600185882.09382,44.4448066,-69.6008914,1600921036.31444,235.63,1600185882.12872,0.403000026941299,1600185882.27387,3.20000004768372,1600185882.06782,-0.365758128249751,-0.161928970907737,1600185882.13382,0.503784974650284,-0.059676396889016,0.066694380660282,0.008537312969565,-0.007490749936551,-0.028392158448696,1600185882,200915,120442,5.8845419883728,20.2394752502441,0.517871618270874,98.6963577270508,7.38907384872437,0.108568012714386,108.568016052246,0.391936123371124,94.853889465332,8.58193778991699
1600185884.09382,44.4448036,-69.6009028,1600921036.51501,233.44,1600185884.12825,0.481000036001205,1600185883.62826,3.20000004768372,1600185884.06782,-0.45699649168553,-0.146813509552483,1600185884.11382,0.474330419192662,-0.094759649441868,0.033390533828682,0.002966375555843,-0.016642827540636,0.014720390550792,1600185884,200915,120444,5.8845419883728,20.237829208374,0.517849922180176,98.672119140625,7.48798418045044,0.10854510217905,108.545104980469,0.399286031723022,94.8625411987305,8.58285140991211
