Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_mission_current_t.seq
10/6/2020, 12:21:21 ,-0.003687643,-0.003392268,-2.285524,-0.1396614,0.05517346,0.02761563,0.4058844,229,33,0,190,0, t,2
10/6/2020, 12:21:22 ,-0.003687643,-0.003392268,-2.285524,-0.1396614,0.05517346,0.02761563,0.4058844,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.02423025,-0.01968227,-2.280212,0.1160498,-0.03888734,0.000225357,0.4058844,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.02423025,-0.01968227,-2.280212,0.1160498,-0.03888734,0.000225357,0.5072945,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.02423025,-0.01968227,-2.280212,0.1160498,-0.03888734,0.000225357,0.5072945,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.03031187,-0.005628899,-2.280799,-0.07992497,-0.03532629,0.008515136,0.5072945,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.03031187,-0.005628899,-2.280799,-0.07992497,-0.03532629,0.008515136,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:23 ,0.03031187,-0.005628899,-2.280799,-0.07992497,-0.03532629,0.008515136,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:24 ,0.03700982,0.01014326,-2.282586,0.1881336,0.01354959,-0.0202532,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:24 ,0.03700982,0.01014326,-2.282586,0.1881336,0.01354959,-0.0202532,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:25 ,0.03700982,0.01014326,-2.282586,0.1881336,0.01354959,-0.0202532,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:26 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.542902,229,33,0,190,0, t,2
10/6/2020, 12:21:26 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.6270668,227,33,0,190,0, t,2
10/6/2020, 12:21:26 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.6270668,227,33,0,190,0, t,2
10/6/2020, 12:21:27 ,0.02130708,-0.00292455,-2.30916,-0.008427671,-0.03726757,-0.03639864,0.6270668,227,33,0,190,0, t,2
10/6/2020, 12:21:27 ,0.00361496,-0.01667456,-2.356493,-0.1542292,0.1045298,-0.00552363,0.6270668,227,33,0,190,0, t,2
10/6/2020, 12:21:27 ,0.00361496,-0.01667456,-2.356493,-0.1542292,0.1045298,-0.00552363,0.57775,224,33,0,190,0, t,2
10/6/2020, 12:21:27 ,0.05905752,-0.006135579,-2.379867,0.06975658,-0.1045132,-0.06200693,0.57775,224,33,0,190,0, t,2
10/6/2020, 12:21:27 ,0.05905752,-0.006135579,-2.379867,0.06975658,-0.1045132,-0.06200693,0.609122,223,33,0,190,0, t,2
10/6/2020, 12:21:28 ,0.05905752,-0.006135579,-2.379867,0.06975658,-0.1045132,-0.06200693,0.609122,223,33,0,190,0, t,2
10/6/2020, 12:21:28 ,0.003596816,-0.00889194,-2.389174,-0.1811588,0.1043347,0.01418628,0.609122,223,33,0,190,0, t,2
10/6/2020, 12:21:28 ,0.003596816,-0.00889194,-2.389174,-0.1811588,0.1043347,0.01418628,0.5574121,223,33,0,190,0, t,2
10/6/2020, 12:21:28 ,0.003596816,-0.00889194,-2.389174,-0.1811588,0.1043347,0.01418628,0.5574121,223,33,0,190,0, t,2
10/6/2020, 12:21:29 ,0.03780392,-0.01465646,-2.406867,0.1630262,-0.1319241,-0.08292893,0.5574121,223,33,0,190,0, t,2
10/6/2020, 12:21:29 ,0.03780392,-0.01465646,-2.406867,0.1630262,-0.1319241,-0.08292893,0.6049224,222,33,0,190,0, t,2
10/6/2020, 12:21:30 ,0.01490293,-0.01542372,-2.419457,0.05849286,0.02590215,-0.04049808,0.6049224,222,33,0,190,0, t,2
10/6/2020, 12:21:30 ,0.01490293,-0.01542372,-2.419457,0.05849286,0.02590215,-0.04049808,0.5820502,221,33,0,190,0, t,2
10/6/2020, 12:21:30 ,0.01490293,-0.01542372,-2.419457,0.05849286,0.02590215,-0.04049808,0.5820502,221,33,0,190,0, t,2
10/6/2020, 12:21:31 ,0.05313891,-0.005166728,-2.432595,0.1153864,-0.03083681,-0.04365771,0.5820502,221,33,0,190,0, t,2
10/6/2020, 12:21:31 ,0.05313891,-0.005166728,-2.432595,0.1153864,-0.03083681,-0.04365771,0.5870788,220,33,0,190,0, t,2
10/6/2020, 12:21:31 ,-0.01457603,-0.000973743,-2.438514,-0.2244864,0.04303605,0.01157166,0.5870788,220,33,0,190,0, t,2
10/6/2020, 12:21:31 ,-0.01457603,-0.000973743,-2.438514,-0.2244864,0.04303605,0.01157166,0.5358245,220,33,0,190,0, t,2
10/6/2020, 12:21:31 ,-0.01457603,-0.000973743,-2.438514,-0.2244864,0.04303605,0.01157166,0.5358245,220,33,0,190,0, t,2
10/6/2020, 12:21:32 ,0.03624959,0.000502583,-2.48354,0.16608,-0.1209605,-0.04507102,0.5358245,220,33,0,190,0, t,2
10/6/2020, 12:21:32 ,0.03624959,0.000502583,-2.48354,0.16608,-0.1209605,-0.04507102,0.534577,217,33,0,190,0, t,2
10/6/2020, 12:21:33 ,0.03624959,0.000502583,-2.48354,0.16608,-0.1209605,-0.04507102,0.534577,217,33,0,190,0, t,2
10/6/2020, 12:21:33 ,0.01432799,0.02356073,-2.488285,-0.01545028,0.1601846,-0.001742951,0.534577,217,33,0,190,0, t,2
10/6/2020, 12:21:33 ,0.01432799,0.02356073,-2.488285,-0.01545028,0.1601846,-0.001742951,0.4762131,217,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.01432799,0.02356073,-2.488285,-0.01545028,0.1601846,-0.001742951,0.4762131,217,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.003042664,-0.03180236,-2.505783,-0.09748958,0.08304695,-0.008440382,0.4762131,217,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.003042664,-0.03180236,-2.505783,-0.09748958,0.08304695,-0.008440382,0.475764,216,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.0385753,-0.01981933,-2.50925,-0.04801528,-0.1878166,-0.02410057,0.475764,216,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.0385753,-0.01981933,-2.50925,-0.04801528,-0.1878166,-0.02410057,0.4715661,216,33,0,190,0, t,2
10/6/2020, 12:21:34 ,0.0385753,-0.01981933,-2.50925,-0.04801528,-0.1878166,-0.02410057,0.4715661,216,33,0,190,0, t,2
10/6/2020, 12:21:35 ,0.005466107,0.000432055,-2.509403,-0.04638945,0.03200506,0.04692331,0.4715661,216,33,0,190,0, t,2
10/6/2020, 12:21:35 ,0.005466107,0.000432055,-2.509403,-0.04638945,0.03200506,0.04692331,0.4558769,216,33,0,190,0, t,2
10/6/2020, 12:21:35 ,0.005466107,0.000432055,-2.509403,-0.04638945,0.03200506,0.04692331,0.4558769,216,33,0,190,0, t,2
10/6/2020, 12:21:36 ,0.05194577,-0.02185407,-2.506115,-0.01995638,-0.01929877,-0.01863021,0.4558769,216,33,0,190,0, t,2
10/6/2020, 12:21:36 ,0.05194577,-0.02185407,-2.506115,-0.01995638,-0.01929877,-0.01863021,0.4623886,216,33,0,190,0, t,2
10/6/2020, 12:21:36 ,0.02879225,-0.009745035,-2.48722,0.2407873,-0.04359914,-0.02489287,0.4623886,216,33,0,190,0, t,2
10/6/2020, 12:21:36 ,0.02879225,-0.009745035,-2.48722,0.2407873,-0.04359914,-0.02489287,0.4729876,217,33,0,190,0, t,2
10/6/2020, 12:21:36 ,0.02879225,-0.009745035,-2.48722,0.2407873,-0.04359914,-0.02489287,0.4729876,217,33,0,190,0, t,2
10/6/2020, 12:21:37 ,0.006883062,-0.01627926,-2.477094,-0.1623809,-0.02461471,0.02672105,0.4729876,217,33,0,190,0, t,2
10/6/2020, 12:21:37 ,0.006883062,-0.01627926,-2.477094,-0.1623809,-0.02461471,0.02672105,0.4931614,218,33,0,190,0, t,2
10/6/2020, 12:21:37 ,0.006883062,-0.01627926,-2.477094,-0.1623809,-0.02461471,0.02672105,0.4931614,218,33,0,190,0, t,2
10/6/2020, 12:21:37 ,0.06233759,-0.008274954,-2.483906,0.06353503,-0.1322865,0.001605567,0.4931614,218,33,0,190,0, t,2
10/6/2020, 12:21:37 ,0.06233759,-0.008274954,-2.483906,0.06353503,-0.1322865,0.001605567,0.5153076,217,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.06233759,-0.008274954,-2.483906,0.06353503,-0.1322865,0.001605567,0.5153076,217,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.03326194,-0.01767401,-2.474007,0.1591926,-0.1656417,-0.03441153,0.5153076,217,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.03326194,-0.01767401,-2.474007,0.1591926,-0.1656417,-0.03441153,0.528351,218,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.011088,0.001161654,-2.466381,-0.07924659,-0.08713619,0.00422752,0.528351,218,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.011088,0.001161654,-2.466381,-0.07924659,-0.08713619,0.00422752,0.5397773,218,33,0,190,0, t,2
10/6/2020, 12:21:38 ,0.011088,0.001161654,-2.466381,-0.07924659,-0.08713619,0.00422752,0.5397773,218,33,0,190,0, t,2
10/6/2020, 12:21:39 ,0.05220971,-0.009583618,-2.469299,0.1092896,-0.07156065,-0.007288281,0.5397773,218,33,0,190,0, t,2
10/6/2020, 12:21:39 ,0.05220971,-0.009583618,-2.469299,0.1092896,-0.07156065,-0.007288281,0.5664367,218,33,0,190,0, t,2
10/6/2020, 12:21:39 ,0.05220971,-0.009583618,-2.469299,0.1092896,-0.07156065,-0.007288281,0.5664367,218,33,0,190,0, t,2
10/6/2020, 12:21:40 ,0.02576411,0.000604853,-2.459083,0.198296,-0.03282176,-0.03328797,0.5664367,218,33,0,190,0, t,2
10/6/2020, 12:21:40 ,0.02576411,0.000604853,-2.459083,0.198296,-0.03282176,-0.03328797,0.5600508,219,33,0,190,0, t,2
10/6/2020, 12:21:40 ,0.02576411,0.000604853,-2.459083,0.198296,-0.03282176,-0.03328797,0.5600508,219,33,0,190,0, t,2
10/6/2020, 12:21:41 ,0.02069799,0.0193763,-2.4414,0.112074,0.1033691,0.02001571,0.5600508,219,33,0,190,0, t,2
10/6/2020, 12:21:41 ,0.02069799,0.0193763,-2.4414,0.112074,0.1033691,0.02001571,0.5415323,220,33,0,190,0, t,2
10/6/2020, 12:21:41 ,0.02069799,0.0193763,-2.4414,0.112074,0.1033691,0.02001571,0.5415323,220,33,0,190,0, t,2
10/6/2020, 12:21:42 ,0.02069799,0.0193763,-2.4414,0.112074,0.1033691,0.02001571,0.5415323,220,33,0,190,0, t,2
10/6/2020, 12:21:43 ,0.004850145,-0.0171488,-2.367838,-0.04007753,-0.03465024,0.01065225,0.5415323,220,33,0,190,0, t,2
10/6/2020, 12:21:43 ,0.004850145,-0.0171488,-2.367838,-0.04007753,-0.03465024,0.01065225,0.4923255,224,33,0,190,0, t,2
10/6/2020, 12:21:43 ,0.007995825,0.003475875,-2.342372,-0.1274313,0.01292843,0.05581881,0.4923255,224,33,0,190,0, t,2
10/6/2020, 12:21:43 ,0.007995825,0.003475875,-2.342372,-0.1274313,0.01292843,0.05581881,0.4959696,225,33,0,190,0, t,2
10/6/2020, 12:21:43 ,0.007995825,0.003475875,-2.342372,-0.1274313,0.01292843,0.05581881,0.4959696,225,33,0,190,0, t,2
10/6/2020, 12:21:44 ,0.03096545,-0.01090783,-2.335438,0.02778104,0.09523778,0.04098428,0.4959696,225,33,0,190,0, t,2
10/6/2020, 12:21:44 ,0.03096545,-0.01090783,-2.335438,0.02778104,0.09523778,0.04098428,0.5002521,226,33,0,190,0, t,2
10/6/2020, 12:21:44 ,0.03096545,-0.01090783,-2.335438,0.02778104,0.09523778,0.04098428,0.5002521,226,33,0,190,0, t,2
10/6/2020, 12:21:44 ,0.01955561,-0.01761295,-2.32136,-0.08143721,-0.09441718,-0.01525153,0.5002521,226,33,0,190,0, t,2
10/6/2020, 12:21:44 ,0.01955561,-0.01761295,-2.32136,-0.08143721,-0.09441718,-0.01525153,0.4796433,227,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01955561,-0.01761295,-2.32136,-0.08143721,-0.09441718,-0.01525153,0.4796433,227,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01408361,0.01590247,-2.294994,0.1390679,0.04206742,0.03410256,0.4796433,227,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01408361,0.01590247,-2.294994,0.1390679,0.04206742,0.03410256,0.4597076,228,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01389733,-0.01791993,-2.277533,-0.1741471,0.132216,0.07373424,0.4597076,228,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01389733,-0.01791993,-2.277533,-0.1741471,0.132216,0.07373424,0.4828602,229,33,0,190,0, t,2
10/6/2020, 12:21:45 ,0.01389733,-0.01791993,-2.277533,-0.1741471,0.132216,0.07373424,0.4828602,229,33,0,190,0, t,2
10/6/2020, 12:21:46 ,0.02360754,0.00041825,-2.263427,0.009313161,-0.1020185,0.007543387,0.4828602,229,33,0,190,0, t,2
10/6/2020, 12:21:46 ,0.02360754,0.00041825,-2.263427,0.009313161,-0.1020185,0.007543387,0.4691617,230,33,0,190,0, t,2
10/6/2020, 12:21:46 ,0.02360754,0.00041825,-2.263427,0.009313161,-0.1020185,0.007543387,0.4691617,230,33,0,190,0, t,2
10/6/2020, 12:21:47 ,0.02907086,-0.009230576,-2.257866,0.02705315,0.119468,0.03613156,0.4691617,230,33,0,190,0, t,2
10/6/2020, 12:21:47 ,0.02907086,-0.009230576,-2.257866,0.02705315,0.119468,0.03613156,0.493151,230,33,0,190,0, t,2
10/6/2020, 12:21:47 ,0.0295003,-0.02181633,-2.258832,-0.03540196,-0.155935,-0.03248661,0.493151,230,33,0,190,0, t,2
10/6/2020, 12:21:47 ,0.0295003,-0.02181633,-2.258832,-0.03540196,-0.155935,-0.03248661,0.4942749,230,33,0,190,0, t,2
