Date, Time, mavlink_attitude_t.roll, mavlink_attitude_t.pitch, mavlink_attitude_t.yaw, mavlink_attitude_t.rollspeed, mavlink_attitude_t.pitchspeed, mavlink_attitude_t.yawspeed, mavlink_vfr_hud_t.groundspeed, mavlink_vfr_hud_t.heading, mavlink_mission_request_t.seq, mavlink_mission_request_t.mission_type, mavlink_mission_request_t.target_component, mavlink_mission_item_int_t.current, mavlink_mission_count_t.count, mavlink_global_position_int_t.lat, mavlink_global_position_int_t.lon
10/6/2020, 12:21:48 ,0.00850359,0.01242131,-2.271273,0.1032036,0.04444209,0.003548941,0.4942749,230,33,0,190,0, t,444448614,-696010406
10/6/2020, 12:21:49 ,0.04093517,-0.02036177,-2.282672,-0.0668347,0.00364093,-0.0273209,0.4871363,229,33,0,190,0, t,444448603,-696010447
10/6/2020, 12:21:50 ,0.00966263,0.02348677,-2.320025,0.1362662,0.0376659,0.01696638,0.4911401,227,33,0,190,0, t,444448578,-696010544
10/6/2020, 12:21:51 ,-0.002691057,-0.01418296,-2.331876,-0.2403617,-0.05320217,0.03321033,0.5064185,227,33,0,190,0, t,444448564,-696010594
10/6/2020, 12:21:52 ,0.003808646,0.007312447,-2.356435,0.04088415,0.04162205,-0.02903694,0.4867823,226,33,0,190,0, t,444448550,-696010639
10/6/2020, 12:21:53 ,0.02531293,-0.02651908,-2.382705,-0.1004042,-0.02772563,0.000982171,0.4832437,224,33,0,190,0, t,444448529,-696010683
10/6/2020, 12:21:54 ,0.004694497,0.01757503,-2.398242,0.02299003,-0.09595415,-0.001922918,0.4648198,222,33,0,190,0, t,444448495,-696010763
10/6/2020, 12:21:55 ,-0.001275681,-0.0169736,-2.414913,-0.2290248,-0.02756679,0.01446045,0.4728233,221,33,0,190,0, t,444448476,-696010803
10/6/2020, 12:21:56 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5339468,221,33,0,190,0, t,444448455,-696010840
10/6/2020, 12:21:57 ,-0.002045296,-0.01555051,-2.419739,-0.3298433,0.09809927,0.06840785,0.5360194,221,33,0,190,0, t,444448410,-696010920
10/6/2020, 12:21:58 ,0.001512473,0.01263272,-2.428825,0.1667645,0.04986922,-0.03508642,0.5360194,221,33,0,190,0, t,444448410,-696010920
10/6/2020, 12:21:59 ,0.04679408,0.008925416,-2.443101,0.1233058,-0.008862736,-0.02139882,0.5140586,220,33,0,190,0, t,444448390,-696010959
10/6/2020, 12:22:00 ,0.06609443,-0.01272147,-2.435251,0.01532826,0.04790893,-0.0161415,0.5076396,220,33,0,190,0, t,444448342,-696011032
10/6/2020, 12:22:01 ,0.03170838,-0.01810126,-2.419013,-0.1007475,0.01161685,0.0376065,0.5425655,221,33,0,190,0, t,444448342,-696011032
10/6/2020, 12:22:03 ,0.03170838,-0.01810126,-2.419013,-0.1007475,0.01161685,0.0376065,0.5496568,221,33,0,190,0, t,444448231,-696011226
10/6/2020, 12:22:04 ,0.000145987,-0.001039028,-2.419928,0.07881591,0.08367466,-0.002678056,0.5634596,221,33,0,190,0, t,444448199,-696011281
10/6/2020, 12:22:05 ,0.01069681,0.000563238,-2.427228,-0.2184676,0.003038675,-0.0032434,0.5317867,221,33,0,190,0, t,444448171,-696011333
10/6/2020, 12:22:06 ,0.05147082,-0.002541438,-2.435506,0.1000909,0.04444008,-0.009502024,0.5097872,220,33,0,190,0, t,444448140,-696011398
10/6/2020, 12:22:07 ,-0.004244722,-0.01057987,-2.42971,0.06426478,0.05600489,0.02123767,0.5744613,220,33,0,190,0, t,444448054,-696011520
10/6/2020, 12:22:08 ,0.03397637,-0.01493837,-2.426968,0.164373,-0.06413515,-0.01536773,0.5579415,220,33,0,190,0, t,444448054,-696011520
10/6/2020, 12:22:09 ,0.03343045,-0.01453408,-2.426906,-0.01298684,0.02773153,0.01340088,0.5274921,220,33,0,190,0, t,444448018,-696011575
10/6/2020, 12:22:10 ,0.02613901,0.008628231,-2.408988,-0.04938678,0.1510053,0.01275542,0.5274921,220,33,0,190,0, t,444447966,-696011666
10/6/2020, 12:22:11 ,0.006154358,-0.003944103,-2.384003,-0.1954208,-0.08292858,0.04967282,0.4678248,222,33,0,190,0, t,444447944,-696011707
