gps_timestamp,latitude,longitude,compass_timestamp,heading,airspeed_timestamp,airspeed,sonar_timestamp,distance,gps_velocity_timestamp,gps_linear_x,gps_linear_y,local_velocity_timestamp,local_linear_x,local_linear_y,local_linear_z,local_angular_x,local_angular_y,local_angular_z,sonde_timestamp,YYMMDD,HHMMSS,Battery V,Temp °C,Depth m,Cond µS/cm,pH,SpCond mS/cm,SpCond µS/cm,Chlorophyll RFU,ODO % sat,ODO mg/L
1600204620.97806,44.1725566,-70.2745287,1600923642.32088,121.53,1600204621.01218,0.616000056266785,1600204620.66721,-1,1600204620.85906,0.530391906998184,-0.301304538616381,1600204620.99806,0.02610820559062,0.002150579358543,-0.030779306123639,0.001185246743262,0.007800112012774,-0.047643408179283,1600204621,200915,171701,5.87351608276367,20.5560035705566,0.474464952945709,81.3544082641602,7.73581457138062,0.088900297880173,88.9002990722656,0.271753519773483,94.601318359375,8.50638198852539
1600204621.97906,44.1725545,-70.2745312,1600923643.32054,124.39,1600204622.01221,0.343000024557114,1600204622.22585,-1,1600204621.85906,0.295628276031774,-0.167940234638639,1600204621.99806,0.000933768086208,-0.14586303601663,-0.109457285530946,0.001507357228547,8.16695392131745E-05,-0.049637526273728,1600204622,200915,171702,5.87194156646729,20.557933807373,0.474454373121262,81.3574752807617,7.7352466583252,0.088900521397591,88.900520324707,0.2656230032444,94.5946350097656,8.50545692443848
1600204623.97806,44.1725559,-70.2745252,1600923645.32075,129.4,1600204624.01134,0.119000002741814,1600204623.5479,-1,1600204623.85906,0.095644442245574,-0.054333605324265,1600204623.99806,0.122045932913114,0.106132647559096,-0.07356835969011,-0.022236593067646,-0.004855308216065,-0.04898864030838,1600204624,200915,171704,5.87194156646729,20.5616474151611,0.474507868289948,81.3672256469727,7.73407316207886,0.088904336094856,88.9043350219727,0.267492592334747,94.5962600708008,8.50501823425293
1600204626.97806,44.172558,-70.2745178,1600923648.32083,134.38,1600204627.01143,0.062000002712011,1600204626.63101,10.8000001907349,1600204626.85906,0.052169695770313,-0.029636511995054,1600204626.99806,0.090625957345192,0.176782104766941,-0.000715517809544,0.015772450715304,0.003884936217219,-0.026731781661511,1600204627,200915,171707,5.87194156646729,20.5678462982178,0.474560856819153,81.3789215087891,7.73306274414063,0.088905103504658,88.9051055908203,0.282541543245316,94.6039505004883,8.50428295135498
1600204627.97806,44.1725586,-70.2745151,1600923649.321,135.19,1600204628.01126,0.122000008821487,1600204627.98148,10.8000001907349,1600204627.85906,0.104339391540626,-0.059273023990108,1600204627.99806,0.08839104073566,0.176880033273145,0.007272316974207,0.012259331531823,0.007886191830039,-0.02458693087101,1600204628,200915,171708,5.87194156646729,20.5704383850098,0.474559754133225,81.3824081420898,7.73282289505005,0.088904738426209,88.9047393798828,0.274245649576187,94.6047744750977,8.50448703765869
1600204628.97806,44.1725598,-70.2745122,1600923650.32095,135.76,1600204629.01176,0.131000012159348,1600204629.32816,10.3999996185303,1600204628.85906,0.113034340835679,-0.06421244265595,1600204628.99806,0.071271838077204,0.188562146885882,-0.003279516322523,0.007924711331725,-0.014976213686168,-0.011110217310488,1600204629,200915,171709,5.87194156646729,20.5723171234131,0.47453847527504,81.3841323852539,7.73263931274414,0.08890250325203,88.9025039672852,0.266705632209778,94.6094284057617,8.50419139862061
1600204630.97806,44.1725618,-70.2745062,1600923652.32145,135.77,1600204631.01123,0.061000004410744,1600204630.67842,10.3999996185303,1600204630.85906,0.052169695770313,-0.029636511995054,1600204630.99806,0.068985125276223,0.168074630776805,-0.006608399966023,-0.014294275082648,-0.004502560943365,-0.005166063085198,1600204631,200915,171711,5.87194156646729,20.5754241943359,0.474656462669373,81.3832550048828,7.73250389099121,0.088895782828331,88.8957824707031,0.258689850568771,94.6134567260742,8.50422859191895
1600204631.97806,44.1725626,-70.2745035,1600923653.32132,135.26,1600204632.0113,0.02900000102818,1600204632.02601,10.3999996185303,1600204631.85906,0.017389898590104,-0.009878837331685,1600204631.99806,0.069662209490437,0.142408715363892,0.008130290841505,-0.026168789714575,-0.013532044366002,0.003864053636789,1600204632,200915,171712,5.87351608276367,20.5759601593018,0.474672645330429,81.3812789916992,7.73231792449951,0.088892720639706,88.8927230834961,0.255494505167007,94.6149978637695,8.50397777557373
1600204632.97806,44.1725635,-70.2745005,1600923654.3212,134.56,1600204633.01134,0.100000001490116,1600204633.37542,10.3999996185303,1600204633.45906,0.147814138015887,-0.083970117319319,1600204632.99906,0.072848473928744,0.139700267583386,0.0116459963563,-0.01693488098681,-0.016242662444711,0.01341122109443,1600204633,200915,171713,5.87351608276367,20.5763912200928,0.474681407213211,81.3783187866211,7.7320761680603,0.088888593018055,88.8885955810547,0.259487628936768,94.6207504272461,8.50449562072754
1600204634.97806,44.1725653,-70.2744953,1600923656.32119,132.49,1600204635.01136,0.065999999642372,1600204634.72602,10.1000003814697,1600204634.85906,0.052169695770313,-0.029636511995054,1600204634.99806,0.030261222068226,0.13147683523583,-0.001460305975308,-0.004465170670301,0.001821094425395,0.016048761084676,1600204635,200915,171715,5.87351608276367,20.5775489807129,0.47469025850296,81.3809127807617,7.73159599304199,0.088889293372631,88.889289855957,0.268949031829834,94.6183242797852,8.50447177886963
1600204635.97806,44.172566,-70.2744939,1600923657.32042,135.14,1600204636.01124,0.090000003576279,1600204636.07239,10.3999996185303,1600204635.85906,0.07825454365547,-0.044454767992581,1600204636.01706,0.004116805396684,0.09404925075712,-0.003491619584773,-0.013235419988632,-0.021477269008756,0.023583818227053,1600204636,200915,171716,5.87351608276367,20.5786151885986,0.474743455648422,81.3826065063477,7.73135137557983,0.088889412581921,88.8894119262695,0.265157014131546,94.6172714233398,8.5039234161377
1600204636.97806,44.1725666,-70.2744925,1600923658.32042,139.36,1600204637.01143,0.079000003635883,1600204637.42617,10.1000003814697,1600204637.45906,0.095644442245574,-0.054333605324265,1600204636.99806,-0.001184776422535,0.089190177061728,-0.003481048243368,-0.005913838278502,-0.015405269339681,-0.043155897408724,1600204637,200915,171717,5.87351608276367,20.5797557830811,0.474746197462082,81.3836288452148,7.73109102249146,0.08888816088438,88.8881607055664,0.257027894258499,94.618896484375,8.5036153793335
1600204638.97806,44.1725673,-70.2744908,1600923660.31956,147.12,1600204639.01124,0.065999999642372,1600204638.76914,10.1000003814697,1600204638.85906,0.052169695770313,-0.029636511995054,1600204638.99806,-0.001594898787613,0.072383018298172,0.005242399776932,0.017965845763683,0.012302138842642,-0.069403931498528,1600204639,200915,171719,5.87351608276367,20.5818748474121,0.474688678979874,81.3876495361328,7.73058462142944,0.088888615369797,88.8886184692383,0.252967834472656,94.6355056762695,8.50497817993164
1600204639.97806,44.1725677,-70.2744905,1600923662.31981,151.78,1600204640.01147,0.060000002384186,1600204640.12562,10.1000003814697,1600204639.85906,0.052169695770313,-0.029636511995054,1600204639.99806,-0.011784702398096,0.074679488141546,-0.001588972885766,0.010504771955311,0.009229642339051,-0.058447781950235,1600204640,200915,171720,5.87351608276367,20.5840873718262,0.474725157022476,81.3936157226562,7.73017597198486,0.08889102935791,88.8910293579102,0.262314736843109,94.6446151733398,8.50527667999268
1600204640.97806,44.172568,-70.2744905,1600923663.31997,153.17,1600204641.01156,0.037000000476837,1600204641.466,10.1000003814697,1600204641.45906,0.07825454365547,-0.044454767992581,1600204640.99806,0.00456072637081,0.070816132862459,-0.004291104754593,0.000397689116653,-0.007602075114846,-0.049031000584364,1600204641,200915,171721,5.87351608276367,20.5851802825928,0.474744081497192,81.394645690918,7.72997331619263,0.088890455663204,88.8904571533203,0.257289797067642,94.645378112793,8.50547599792481
1600204642.97806,44.1725691,-70.2744918,1600923665.31982,154.95,1600204643.01097,0.042000003159046,1600204642.82581,10.1000003814697,1600204642.85906,0.034779797180209,-0.019757674663369,1600204643.01706,0.012162253613434,0.059088064787815,0.004246229847046,-0.008224558085203,0.022391486912966,-0.024327248334885,1600204643,200915,171723,5.87351608276367,20.5875301361084,0.474755734205246,81.3941345214844,7.72948169708252,0.088885560631752,88.8855590820313,0.257380723953247,94.6609802246094,8.50629329681397
1600204643.97906,44.1725697,-70.2744926,1600923666.32015,154.43,1600204644.01128,0.162000000476837,1600204644.16239,10.1000003814697,1600204643.85906,0.139119188720835,-0.079030698653477,1600204643.99806,0.00238052529295,0.064587768324319,0.022733602256066,-0.017034096643329,-0.003964641597122,-0.023750767111778,1600204644,200915,171724,5.87351608276367,20.5886783599853,0.474828481674194,81.3957901000977,7.72925281524658,0.088884897530079,88.884895324707,0.250571370124817,94.6691284179687,8.50670146942139
