1602001205.0260768,1
1602001775.1689928,2
1602001780.1892853,3
1602001958.3458393,4
1602001963.3643286,5
1602002020.4623685,6
1602002025.4809363,7
1602002298.993695,8
1602002304.012451,9
1602002346.6130416,10
1602002351.632496,11
1602002688.2229097,12
1602002693.2423306,13
1602002745.4001493,14
1602002750.4212608,15
1602003116.2306066,16
1602003121.2495878,17
1602003161.4099581,18
1602003166.4282932,19
1602003494.8794696,20
1602003499.8978183,21
1602003549.5975218,22
1602003554.6178932,23
1602003896.5881083,24
1602003901.6075797,25
1602003937.9464285,26
1602003942.9652438,27
1602004258.3177972,28
1602004263.3355591,29
1602004379.6341069,30
1602004384.653075,31
1602004621.6264975,32
